2026-08-04 19:58:57 | INFO     | fairness_audit       | ATTRIBUTE: age_band
2026-08-04 19:58:57 | INFO     | fairness_audit       |   level                     n    prev      AUC   recall      PPR  status
2026-08-04 19:58:57 | INFO     | fairness_audit       |   40-69                  8557  0.0820   0.6369   0.1966   0.0802  OK
2026-08-04 19:58:57 | INFO     | fairness_audit       |   70+                    7837  0.0962   0.6257   0.1804   0.0916  OK
2026-08-04 19:58:57 | INFO     | fairness_audit       |   <40                     931  0.0763   0.7461   0.3521   0.1214  OK
2026-08-04 19:58:57 | INFO     | fairness_audit       |     gap[auc] +0.1204 (70+ -> <40) supported=True
2026-08-04 19:58:57 | INFO     | fairness_audit       |     gap[recall] +0.1717 (70+ -> <40) supported=False
2026-08-04 19:58:57 | INFO     | fairness_audit       |     gap[predicted_positive_rate] +0.0412 (40-69 -> <40) supported=True
2026-08-04 19:58:57 | INFO     | fairness_audit       |     gap[precision] +0.0318 (70+ -> <40) supported=False
2026-08-04 19:58:57 | INFO     | fairness_audit       |     gap[ece] +0.0072 (40-69 -> <40) supported=False
2026-08-04 19:58:57 | INFO     | fairness_audit       | --------------------------------------------------------------
2026-08-04 19:58:57 | INFO     | fairness_audit       | payer_code gain-importance rank: 17/53 | top5 ['discharge_disposition_id', 'FE_has_prior_inpatient', 'FE_lab_to_procedure_ratio', 'FE_labs_per_day', 'FE_meds_per_day']
2026-08-04 19:59:10 | INFO     | fairness_audit       | FALSIFICATION: injected AUC gap 0.1313 detected=True | real gap 0.0091
2026-08-04 19:59:10 | INFO     | fairness_audit       | --------------------------------------------------------------
2026-08-04 19:59:10 | INFO     | fairness_audit       | supported disparities: {'race': ['ece'], 'gender': [], 'age_band': ['auc', 'predicted_positive_rate']}
2026-08-04 19:59:10 | INFO     | fairness_audit       | Report: fairness_audit.json
2026-08-04 19:59:10 | INFO     | fairness_audit       | ==============================================================================
